"";"tailnum";"year";"type";"manufacturer";"model";"engines";"seats";"speed";"engine"
"3814";"N8648A";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3815";"N8649A";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3816";"N864DN";2016;"Fixed wing multi engine";"BOEING";"737-932ER";2;222;0;"Turbo-fan"
"3817";"N864NN";2010;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3818";"N864RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 SE";2;70;0;"Turbo-fan"
"3819";"N8650F";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3820";"N8651A";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3821";"N8652B";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3822";"N86534";2016;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"3823";"N8653A";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3824";"N8654B";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3825";"N8655D";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3826";"N8656B";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3827";"N8657B";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3828";"N8658A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3829";"N8659D";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3830";"N865DN";2016;"Fixed wing multi engine";"BOEING";"737-932ER";2;222;0;"Turbo-fan"
"3831";"N865NN";2010;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3832";"N865RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 SE";2;70;0;"Turbo-fan"
"3833";"N8660A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3834";"N8661A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3835";"N8662F";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3836";"N8663A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3837";"N8664J";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3838";"N8665D";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3839";"N8667D";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3840";"N8668A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3841";"N8669B";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3842";"N866DN";2016;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3843";"N866NN";2010;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3844";"N8670A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3845";"N8671D";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3846";"N8672F";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3847";"N8673F";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3848";"N8674B";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3849";"N8675A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3850";"N8676A";2015;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3851";"N8677A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3852";"N8678E";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3853";"N8679A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3854";"N867DN";2016;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3855";"N867NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3856";"N867RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3857";"N8680C";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3858";"N8681M";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3859";"N8682B";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3860";"N8683D";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3861";"N8684F";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3862";"N8685B";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3863";"N8686A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3864";"N8687A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3865";"N8688J";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3866";"N8689C";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3867";"N868DN";2016;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3868";"N868NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3869";"N868RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3870";"N8690A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3871";"N8691A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3872";"N8692F";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3873";"N8693A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3874";"N8694E";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3875";"N8695D";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3876";"N8696E";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3877";"N8697C";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3878";"N8698B";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3879";"N8699A";2016;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"3880";"N869DN";2016;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3881";"N869NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3882";"N869RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 SE";2;70;0;"Turbo-fan"
"3883";"N8701Q";2015;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3884";"N8702L";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3885";"N8704Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3886";"N8705Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3887";"N8706W";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3888";"N8707P";NA;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3889";"N8708Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3890";"N8709Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3891";"N870DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3892";"N870NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3893";"N870RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3894";"N8710M";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3895";"N8711Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3896";"N8712L";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3897";"N8713M";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3898";"N8714Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3899";"N8715Q";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3900";"N8716B";2017;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3901";"N8717M";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3902";"N8718Q";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3903";"N8719Q";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3904";"N871DN";NA;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3905";"N871HK";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3906";"N871NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3907";"N871RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3908";"N871UA";2003;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3909";"N8720L";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3910";"N8721J";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3911";"N8722L";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3912";"N8723Q";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3913";"N8724J";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3914";"N8725L";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3915";"N8726H";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3916";"N8727M";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3917";"N8728Q";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3918";"N8729H";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3919";"N872CB";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3920";"N872DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3921";"N872NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3922";"N872RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3923";"N872UA";2003;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3924";"N8730Q";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3925";"N8731J";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3926";"N8732S";2018;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3927";"N8733M";2019;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3928";"N8734Q";2019;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3929";"N8735L";2019;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3930";"N8736J";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3931";"N8737L";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3932";"N8738K";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3933";"N8739L";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3934";"N873DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3935";"N873NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3936";"N873RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3937";"N873UA";2003;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3938";"N8740A";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3939";"N8741L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3940";"N8742M";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3941";"N8743K";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3942";"N8744B";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3943";"N8745K";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3944";"N8746Q";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3945";"N8747Q";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3946";"N8748Q";2020;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3947";"N8749Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3948";"N874DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3949";"N874NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3950";"N874RW";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100SU";2;70;0;"Turbo-fan"
"3951";"N874UA";NA;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3952";"N87507";2008;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"3953";"N8750Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3954";"N87512";2008;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"3955";"N87513";2008;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"3956";"N8751R";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3957";"N87527";2010;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"3958";"N8752Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3959";"N87531";2011;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"3960";"N8753Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3961";"N8754S";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3962";"N8755L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3963";"N8756S";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3964";"N8757L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3965";"N8758L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3966";"N8759Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3967";"N875DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3968";"N875NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3969";"N875RW";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 LR";2;70;0;"Turbo-fan"
"3970";"N875UA";NA;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3971";"N8760L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3972";"N8761L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3973";"N8762Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3974";"N8763L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3975";"N8764Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3976";"N8765Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3977";"N8766T";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3978";"N8767M";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3979";"N8768Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3980";"N8769Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3981";"N876DN";NA;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3982";"N876NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3983";"N876UA";2004;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3984";"N8770Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3985";"N8771D";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3986";"N8772M";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3987";"N8773Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3988";"N8774Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3989";"N8775Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3990";"N8776L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3991";"N8777Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3992";"N8778Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3993";"N8779Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3994";"N877DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"3995";"N877NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"3996";"N877UA";2004;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"3997";"N8780Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3998";"N8781Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"3999";"N8782Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4000";"N8783L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4001";"N8784Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4002";"N8785L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4003";"N8786Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4004";"N8787K";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4005";"N8788L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4006";"N8789Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4007";"N878DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"4008";"N878NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"4009";"N878RW";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 LR";2;70;0;"Turbo-fan"
"4010";"N878UA";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"4011";"N8790Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4012";"N8791D";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4013";"N8792Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4014";"N8793Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4015";"N8794Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4016";"N8795L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4017";"N8796L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4018";"N8797Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4019";"N8798Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4020";"N879DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"4021";"N879NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"4022";"N879RW";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 LR";2;70;0;"Turbo-fan"
"4023";"N879UA";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"4024";"N8800L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4025";"N8801Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4026";"N8802Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4027";"N8803L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4028";"N8804L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4029";"N8805L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4030";"N8806Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4031";"N8807L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4032";"N8808Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4033";"N8809L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4034";"N880DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"4035";"N880NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"4036";"N880RW";NA;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 LR";2;70;0;"Turbo-fan"
"4037";"N880UA";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"4038";"N8810L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4039";"N8811L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4040";"N8812Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4041";"N8813Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4042";"N8814K";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4043";"N8815L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4044";"N8816Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4045";"N8817L";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4046";"N8818Q";2021;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4047";"N8819L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4048";"N881DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"4049";"N881NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"4050";"N881UA";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"4051";"N8820L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4052";"N8821S";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4053";"N8822Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4054";"N8823Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4055";"N8824Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4056";"N8825Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4057";"N8826Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4058";"N8827Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4059";"N8828L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4060";"N8829Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4061";"N882DN";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"4062";"N882NN";2011;"Fixed wing multi engine";"BOEING";"737-823";2;162;0;"Turbo-fan"
"4063";"N882RW";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-100 LR";2;70;0;"Turbo-fan"
"4064";"N882UA";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"4065";"N8830Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4066";"N8831L";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4067";"N8832H";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4068";"N8833L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4069";"N8834L";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4070";"N8835Q";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4071";"N8836Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4072";"N8837Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4073";"N8838Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"4074";"N8839Q";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
